N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
model_1,500,1,1,0.8570885594830863,0.8216838669504124,0.8255111664584335,0.248868778280543,0.5556993867183952,0.3342705522221399
model_2,500,2,1,0.8607627011275814,0.8202046926501371,0.8330031638776811,0.2933634992458522,0.50638799378221,0.36656437002424014
model_3,500,3,1,0.8698847079690866,0.8308403635595422,0.8380973075905559,0.27450980392156865,0.572797435245466,0.36582576516708365
model_4,500,1,2,0.8881287216520968,0.8779409276126433,0.8673746679370139,0.40271493212669685,0.7689689123512653,0.5023800856851506
model_5,500,2,2,0.9137210186240973,0.9062451890325731,0.9070736499335517,0.6010558069381599,0.7618369639645185,0.6663527266768989
model_6,500,3,2,0.9104269605979982,0.9066197924255859,0.8971494648651683,0.4917043740573152,0.8746260196885695,0.6241660748218578
model_7,800,1,2,0.9004180919802357,0.8902238211748541,0.8861801205560208,0.4917043740573152,0.7613162840965119,0.5778989061510654
model_8,800,2,2,0.9177752438869885,0.9192849021895636,0.9115123934529878,0.6425339366515838,0.7884543907633648,0.6747079743765507
model_9,800,3,2,0.8956036994805524,0.9202468205434853,0.9007929171886642,0.5882352941176471,0.7771549019205508,0.6403343395926558
