N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
model_1,500,1,1,0.9078930698086912,0.8940937161863696,0.8966078527494555,0.5271493212669683,0.7289744073253576,0.6062143720808623
model_2,500,2,1,0.9161282148739389,0.9110548748597368,0.9110139004975861,0.5972850678733032,0.7744906790252167,0.6728074353546845
model_3,500,3,1,0.8945901431648295,0.8665826549495198,0.8757701450534221,0.43514328808446456,0.5937269116557902,0.49136261648154034
model_4,500,1,2,0.9286709742810085,0.9165592525590789,0.9191405700960953,0.6131221719457014,0.8004835027366645,0.6896377306784253
model_5,500,2,2,0.9461548207272267,0.9427103781454356,0.9420730426077875,0.7254901960784313,0.8918461732184874,0.7964365724140648
model_6,500,3,2,0.938299759280375,0.9359850096618049,0.9335549111493442,0.6681749622926093,0.8923753733178745,0.7618716556520921
model_7,800,1,2,0.9358925630305334,0.9318990397250771,0.9269638838690304,0.6478129713423831,0.8825901190350437,0.7274255185861691
model_8,800,2,2,0.948055238819207,0.9451976536833501,0.9441111028950163,0.7405731523378583,0.8971172132907267,0.8054362361757575
model_9,800,3,2,0.9407069555302167,0.949079428604202,0.9433398396021615,0.797134238310709,0.8345070108485526,0.8065823886307513
